,ba_m,simple_spread_chance,group_homophily,repetition,pearson,euclidean,mape
545,10,0.05,0.5,5,-0.5385745592051027,334.9966574993609,0.5036490850218542
546,10,0.05,0.5,6,-0.502393809636323,335.5836436297637,0.5039337095776872
547,10,0.05,0.5,7,-0.4790619520794394,335.2975129679151,0.5063578304379625
548,10,0.05,0.5,8,-0.5175414034520106,335.36012596823616,0.5025046663768408
549,10,0.05,0.5,9,-0.5218985927968712,330.0111985832044,0.49548975101312936
550,10,0.05,0.75,0,-0.5649463931095381,333.28629738660794,0.4992851149302248
551,10,0.05,0.75,1,-0.522241767630752,331.05391554021975,0.49360332755714453
552,10,0.05,0.75,2,-0.4999363947578315,335.39957498111596,0.5046539731150138
553,10,0.05,0.75,3,-0.5435162590904149,337.9480879027719,0.5065513277408651
554,10,0.05,0.75,4,-0.5119972290520386,331.80824780182115,0.500048030909664
555,10,0.05,0.75,5,-0.5139367876034456,326.7081570821362,0.4893063335259667
556,10,0.05,0.75,6,-0.46411199215001764,331.36559906779104,0.49778098463275183
557,10,0.05,0.75,7,-0.5310268038326463,333.2183501504367,0.4995023722431739
558,10,0.05,0.75,8,-0.4877553501519614,332.6003991667881,0.4992666071708216
559,10,0.05,0.75,9,-0.5699786651615649,333.5020395184495,0.4988033481219753
560,10,0.1,0.1,0,-0.28204801323898326,371.7503319625039,0.5603191799820525
561,10,0.1,0.1,1,-0.2529586575927423,373.5610784185624,0.5647116441862686
562,10,0.1,0.1,2,-0.22920072075354772,371.1031421724401,0.5606717028570062
563,10,0.1,0.1,3,-0.24762835718460344,371.22922593871,0.5613724788957309
564,10,0.1,0.1,4,-0.2567816627865856,369.3030227089643,0.5571442692623816
565,10,0.1,0.1,5,-0.26310501378050316,372.3081589268827,0.5617099309309824
566,10,0.1,0.1,6,-0.22602217413698733,367.869761613418,0.5541230377853686
567,10,0.1,0.1,7,-0.2424917415056407,368.64109958920807,0.5579733022740301
568,10,0.1,0.1,8,-0.24083414282246396,372.6560446141086,0.5627045565263082
569,10,0.1,0.1,9,-0.23484435387757485,371.78673953249154,0.5627141598478995
570,10,0.1,0.25,0,-0.28137733790387914,365.5938000778128,0.5496768164972149
571,10,0.1,0.25,1,-0.2988861951648194,365.85548843791776,0.5484870494641979
572,10,0.1,0.25,2,-0.2674579984836018,363.9672560090148,0.5477279825850436
573,10,0.1,0.25,3,-0.27733370622964937,366.5901672109676,0.5504463280975053
574,10,0.1,0.25,4,-0.27547331611724224,363.4245342556317,0.5441296425858579
575,10,0.1,0.25,5,-0.22984070840530132,367.5329504336634,0.5566730243908938
576,10,0.1,0.25,6,-0.24907342031150267,365.16347594783946,0.548832585063715
577,10,0.1,0.25,7,-0.27486462682057966,364.79172327797164,0.5483402930929165
578,10,0.1,0.25,8,-0.25688101075024194,364.71210824034915,0.5482061882288182
579,10,0.1,0.25,9,-0.2738202675900738,362.1349082271078,0.5437103887350051
580,10,0.1,0.5,0,-0.27594558472734,364.3140588869903,0.5468133034429808
581,10,0.1,0.5,1,-0.29138388610648586,362.57374237632433,0.5427203665305903
582,10,0.1,0.5,2,-0.3005504355157687,365.70223823053794,0.5475626713368519
583,10,0.1,0.5,3,-0.2775667238152639,361.7957900556314,0.5433598345515587
584,10,0.1,0.5,4,-0.2690244167344153,367.748641733694,0.5528422005159094
585,10,0.1,0.5,5,-0.29223610151274965,365.04568212238934,0.5474742022771862
586,10,0.1,0.5,6,-0.29643643408657444,365.45790898123624,0.5469189904378052
587,10,0.1,0.5,7,-0.2879737129444551,365.1566466835652,0.5484438035264783
588,10,0.1,0.5,8,-0.28398622284573966,365.4098957821322,0.5492331586609654
589,10,0.1,0.5,9,-0.2824449255946001,363.02389550052675,0.5432186263679876
590,10,0.1,0.75,0,-0.304003593353611,364.83573730808644,0.5461152989694463
591,10,0.1,0.75,1,-0.2982268136188586,366.5208842438472,0.54948047064034
