,ba_m,complex_spread_ratio,repetition,run,pearson,euclidean,mape
5698,15,0.1,2,29,-0.05967055320110671,372.5065911144449,0.5512586560032954
5699,15,0.1,3,0,0.049163753040187254,316.2816401785972,0.40330055929862435
5700,15,0.1,3,1,0.0488675828674372,317.5514638326822,0.40864983408472405
5701,15,0.1,3,2,0.057068220878712335,315.9578289704633,0.39955764968183316
5702,15,0.1,3,3,0.04905239105268989,317.6138694958518,0.40425456550355215
5703,15,0.1,3,4,0.05318517914261867,317.1121305299516,0.40325191413674205
5704,15,0.1,3,5,0.10541370322907863,290.1331936365434,0.39271736737718804
5705,15,0.1,3,6,0.036313161767277384,316.4199465484612,0.4034787166351627
5706,15,0.1,3,7,0.050380080436760226,316.80601178697003,0.4011814631082306
5707,15,0.1,3,8,0.022623103786601522,317.29226054203156,0.4099167507877417
5708,15,0.1,3,9,0.019022780850552774,323.8174997721196,0.4149858190768563
5709,15,0.1,3,10,0.051166645976851194,315.85200563297576,0.4037244181863378
5710,15,0.1,3,11,0.05393746438251245,317.71067596365424,0.40464583376891455
5711,15,0.1,3,12,0.04812043114286763,318.05552367753575,0.4081948433017946
5712,15,0.1,3,13,0.06546626743814886,316.2101048983364,0.40148210403304757
5713,15,0.1,3,14,0.05166568753854565,315.7879789847609,0.4001270296934219
5714,15,0.1,3,15,0.04791355105607469,316.95135067802136,0.403801037265868
5715,15,0.1,3,16,0.046415689922457835,315.7523341775272,0.40012423292968874
5716,15,0.1,3,17,0.06132641224920952,316.7019608129476,0.4009148713257707
5717,15,0.1,3,18,0.04518912704507286,316.2419691703971,0.40193331157796514
5718,15,0.1,3,19,0.051359351183480284,316.06863089795416,0.4010635815006672
5719,15,0.1,3,20,0.04339542002031846,318.29457136131805,0.4081095571825024
5720,15,0.1,3,21,0.04590856707537069,316.2536670347049,0.40149481527873093
5721,15,0.1,3,22,0.056474239366774405,316.5469510868682,0.4024331065511347
5722,15,0.1,3,23,0.044886028191114806,317.79814489644633,0.40651451696005786
5723,15,0.1,3,24,0.03363046366022171,318.370214296551,0.41039986213264606
5724,15,0.1,3,25,0.05035657918095671,317.62388054272105,0.4065991579587023
5725,15,0.1,3,26,0.04024924752776596,317.39675922512134,0.405971432729282
5726,15,0.1,3,27,0.0545620746971326,315.5508322050379,0.39538364637133316
5727,15,0.1,3,28,0.04665129815796215,316.1738424597426,0.40195206882067236
5728,15,0.1,3,29,0.0794519303519239,317.87966071841396,0.40734823882049737
5729,15,0.1,4,0,0.13475533740070286,310.9357584185127,0.40877324510583035
5730,15,0.1,4,1,0.13381806924786654,312.5820983220578,0.4133254834548549
5731,15,0.1,4,2,0.1211395117631922,312.16336422696173,0.4154299640804668
5732,15,0.1,4,3,0.14069093482284953,311.6233012125824,0.4087740768950901
5733,15,0.1,4,4,0.12905426946927825,311.2876429174706,0.4115588952557608
5734,15,0.1,4,5,0.12252100555880185,312.45279269762034,0.4127692433839851
5735,15,0.1,4,6,0.13142178739257693,311.8662721519467,0.41073386891375047
5736,15,0.1,4,7,0.14643632034363385,310.81172127652286,0.4054394230604843
5737,15,0.1,4,8,0.12754472947539527,312.1034066866577,0.4126777742482892
5738,15,0.1,4,9,0.12955312493038282,312.2704302827254,0.4157081166904825
5739,15,0.1,4,10,0.13343989942244558,312.00931330593727,0.4121248154097472
5740,15,0.1,4,11,0.12784074508667687,312.48746932636044,0.41295603822563426
5741,15,0.1,4,12,0.12990413220935818,313.2016131549143,0.4148931574566644
5742,15,0.1,4,13,0.1329977129082939,312.5998258210577,0.41358909951995754
5743,15,0.1,4,14,0.13099537641050196,311.4050032718891,0.4122666192905811
5744,15,0.1,4,15,0.12936038583519507,312.562184825968,0.414139387000426
5745,15,0.1,4,16,0.11046897283840489,313.05953381895665,0.4169747670022667
5746,15,0.1,4,17,0.1347272212078078,311.8969264137682,0.412656701981377
5747,15,0.1,4,18,0.13122621727972536,312.36933245442714,0.4128010458614342
5748,15,0.1,4,19,0.11891148582250861,312.07213272815176,0.4164871265115211
5749,15,0.1,4,20,0.12575915798499948,312.09692908505104,0.4153267737930679
5750,15,0.1,4,21,0.13288483803872886,312.6382717967574,0.41372655123028945
5751,15,0.1,4,22,0.13919521387069456,310.9388646607918,0.40749814958600633
5752,15,0.1,4,23,0.12623911875087815,312.0379416150325,0.41343536692857547
5753,15,0.1,4,24,0.12392171173640461,312.42588962566396,0.41327881052728616
5754,15,0.1,4,25,0.13319000183448257,312.16873827647487,0.4140561942680591
5755,15,0.1,4,26,0.12264481077551981,312.38523042656476,0.41684444145492144
5756,15,0.1,4,27,0.11883958513824676,312.6919710412771,0.4151995036739838
5757,15,0.1,4,28,0.1333835445174395,311.90938128749497,0.40839675369298073
5758,15,0.1,4,29,0.13028763341566615,311.9503269049399,0.4145707779091232
5759,15,0.1,5,0,0.17022806568507,276.5623162230001,0.3752311155939683
5760,15,0.1,5,1,0.18274939617664254,275.59536161254385,0.3742992630485846
5761,15,0.1,5,2,0.1743045084185689,278.52173824458526,0.3804568969713385
5762,15,0.1,5,3,0.18599351907498507,275.5355050370869,0.374753007771353
5763,15,0.1,5,4,0.1677128493565546,272.29992229535316,0.36561864604895095
5764,15,0.1,5,5,0.17693769667643303,277.08702139969125,0.3773162550222377
5765,15,0.1,5,6,0.18724335115106602,275.7982588494352,0.3760401831694912
5766,15,0.1,5,7,0.19337515166478836,276.9272433903159,0.377188463979794
5767,15,0.1,5,8,0.17632592071004138,277.43766040689235,0.37871650637410587
5768,15,0.1,5,9,0.1699726999086216,274.05460665940586,0.3701587225730612
5769,15,0.1,5,10,0.19121448654359022,278.3324691500391,0.380240672494852
5770,15,0.1,5,11,0.17833158186326015,275.52547401218675,0.37493048321019407
5771,15,0.1,5,12,0.1833459939055712,274.85172323625085,0.3729950453145123
5772,15,0.1,5,13,0.1929373688926014,275.0806255328362,0.3737392260867815
5773,15,0.1,5,14,0.18177293394781016,274.1768425990463,0.3722450476654306
5774,15,0.1,5,15,0.17659447055012004,275.68070638525955,0.3758416796194788
5775,15,0.1,5,16,0.18561831999969416,279.0920500753804,0.3816350725186573
5776,15,0.1,5,17,0.17855612303582757,274.99201455345,0.3744271376943455
5777,15,0.1,5,18,0.18094481048725375,277.3245789381114,0.3783025080267661
5778,15,0.1,5,19,0.17857774465729812,275.4017652733123,0.37398866684198245
5779,15,0.1,5,20,0.1724851528156541,274.7761583245905,0.3724256962721708
5780,15,0.1,5,21,0.18154062780167424,276.79996842884356,0.37785489101229247
5781,15,0.1,5,22,0.16942001320338276,273.7164361642452,0.3698611618140304
5782,15,0.1,5,23,0.1818601708197222,275.3451651619699,0.37350992238717473
5783,15,0.1,5,24,0.19030960305477176,277.17534227955565,0.37817391304535347
5784,15,0.1,5,25,0.18405943075893552,276.3515134992303,0.3764076529102181
5785,15,0.1,5,26,0.1851635283185894,275.1225904313707,0.37378602648590364
5786,15,0.1,5,27,0.12310823393316284,287.98702120018123,0.38971983991291337
5787,15,0.1,5,28,0.18686724796682705,277.9534854844241,0.37971776893478126
5788,15,0.1,5,29,0.18144509529692385,276.39721833342793,0.3751703662615957
5789,15,0.1,6,0,0.05522194797315705,296.8441260412775,0.38663141470254825
5790,15,0.1,6,1,0.05750907810930852,297.30770615056343,0.3879595313072361
5791,15,0.1,6,2,0.06252187953400647,296.8597771562023,0.3860465239716748
5792,15,0.1,6,3,0.05237618326812573,296.63141010693124,0.38641965819788854
5793,15,0.1,6,4,0.05998315096072046,297.75176816196654,0.38756053362679593
5794,15,0.1,6,5,0.05896155773041759,296.6062556443357,0.38788515801576745
5795,15,0.1,6,6,0.06156504485784579,297.5537104733239,0.38651050945307824
5796,15,0.1,6,7,0.05237725216680186,298.13315766637123,0.3908099539852596
5797,15,0.1,6,8,0.062253228423716195,298.2588116654276,0.3887127524973905
5798,15,0.1,6,9,0.06911728632989701,296.3489585816785,0.38395459143177946
5799,15,0.1,6,10,0.06038270822146479,297.41128078748505,0.38909598114853106
5800,15,0.1,6,11,0.057675590265047365,297.3444076072689,0.3864848271120394
5801,15,0.1,6,12,0.05356423204131024,296.8691975808294,0.3886591304453623
5802,15,0.1,6,13,0.054808627022098794,296.40547972344984,0.38656958296598426
5803,15,0.1,6,14,0.05490633943029102,297.7262886114355,0.38950232143833335
5804,15,0.1,6,15,0.06399510174778354,297.25657210165986,0.38513653414669324
5805,15,0.1,6,16,0.05662699111913416,298.29526366355145,0.38980716748062977
5806,15,0.1,6,17,0.05512442287923635,295.2797301682099,0.3837319575521938
5807,15,0.1,6,18,0.05853581420435871,298.8302374192638,0.3911296847615316
5808,15,0.1,6,19,0.053068198033658635,298.2307342548786,0.3904913668875872
5809,15,0.1,6,20,0.06144394602750658,297.13933291777624,0.3877730203856761
5810,15,0.1,6,21,0.05496851957016743,298.1170918815311,0.3914590143164512
5811,15,0.1,6,22,0.05809110340070125,298.1375851768641,0.3881121925928848
5812,15,0.1,6,23,0.06624789280825708,296.94859811903115,0.3861700321540435
5813,15,0.1,6,24,0.04446186543297959,297.17485164759995,0.39080947429233626
5814,15,0.1,6,25,0.05871345350378446,296.78697748730445,0.3866376535073081
5815,15,0.1,6,26,0.14647008839995337,285.5846993392976,0.3590892946063664
5816,15,0.1,6,27,0.06693552578072642,296.54455558785907,0.3855933205850765
5817,15,0.1,6,28,0.05652245521916261,297.73363321761025,0.38845226547918416
5818,15,0.1,6,29,0.053969631301224084,298.1628371991473,0.3903531563158323
5819,15,0.1,7,0,0.16723219747377924,298.99282249316684,0.4096071953814368
5820,15,0.1,7,1,0.16282195661517398,301.258368135028,0.41435874718458326
5821,15,0.1,7,2,0.13914600702797988,278.30636271890063,0.3710045982756691
5822,15,0.1,7,3,0.17267689715808823,300.0780147385761,0.41246982869435955
5823,15,0.1,7,4,0.16508633514352214,283.8641086958368,0.3881733596370685
5824,15,0.1,7,5,0.15049305931545445,298.45840893283633,0.40659216052925357
5825,15,0.1,7,6,0.15746651675241366,299.1454623581501,0.40857959104879105
5826,15,0.1,7,7,0.15267093334999712,301.46940469075463,0.4146315734107171
